asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
2371,2017-10-19T13:56:47Z, , ,693, ,%3117500%, , 
2371,2017-10-19T13:56:52Z, , ,706, ,3117502, , 
2371,2017-10-19T13:56:55Z,4,1009,%706%, ,%3117502%, , 
2371,2017-10-19T13:56:58Z,9,4758,1424, ,3117503,11251533, 
2371,2017-10-19T13:56:59Z,10,5417,%1424%, ,3117504,%11251533%, 
2371,2017-10-19T13:56:59Z,%10%,%5417%,%1424%, ,%3117504%,%11251533%, 
2371,2017-10-19T13:57:00Z,%10%,%5417%,%1424%, ,%3117504%,%11251533%, 
2371,2017-10-19T13:57:01Z,11,6194,%1424%, ,3117505,11251565, 
2371,2017-10-19T13:57:02Z,12,7487,%1424%, ,%3117505%,%11251565%, 
2371,2017-10-19T13:57:04Z,13,7427,1258, ,3117506,%11251565%, 
2371,2017-10-19T13:57:05Z,12,6885,%1258%, ,3117507,%11251565%, 
2371,2017-10-19T13:57:06Z,%12%,%6885%,%1258%, ,3117508,11251571, 
2371,2017-10-19T13:57:07Z,%12%,5333,%1258%,17,%3117508%,%11251571%, 
2371,2017-10-19T13:57:08Z,7,%5333%,%1258%,%17%,3117509,%11251571%, 
2371,2017-10-19T13:57:12Z,15,7159,1559,%17%,3117512,11251581, 
2371,2017-10-19T13:57:12Z,%15%,%7159%,%1559%,%17%,%3117512%,11251594, 
2371,2017-10-19T13:57:13Z,16,%7159%,%1559%,%17%,%3117512%,%11251594%, 
2371,2017-10-19T13:57:17Z,10,7890,1369,%17%,3117517,11251606, 
2371,2017-10-19T13:57:17Z,%10%,%7890%,%1369%,%17%,%3117517%,%11251606%, 
2371,2017-10-19T13:57:23Z,23,6703,1677,%17%,3117520,11251614, 
2371,2017-10-19T13:57:25Z,%23%,%6703%,1300,%17%,3117521,%11251614%, 
2371,2017-10-19T13:57:25Z,%23%,6656,%1300%,%17%,%3117521%,%11251614%, 
2371,2017-10-19T13:57:29Z,8,10914,960,%17%,3117522,%11251614%, 
2371,2017-10-19T13:57:31Z,13,10026,%960%,%17%,%3117522%,11251704, 
2371,2017-10-19T13:57:35Z,15,10005,1168,%17%,3117523,11251720, 
2371,2017-10-19T13:57:45Z,1,%10005%,750,19,3117525,11251725, 
2371,2017-10-19T14:53:29Z, , , , , , , 
2371,2017-10-19T14:55:29Z, , , , , , , 
2371,2017-10-19T14:56:45Z, , , , , , , 
2371,2017-10-19T14:57:09Z, , , , , , , 
2371,2017-10-19T15:14:14Z, , , , , , , 
2371,2017-10-19T15:14:14Z, , , , , , , 
